Tag Name,Value,Timestamp
PT003_CompIn-barg,52.17139,23 Apr 2018 18:09:57:220  
PT003_CompIn-barg,52.169098,23 Apr 2018 18:09:57:476  
PT003_CompIn-barg,52.16681,23 Apr 2018 18:09:57:719  
PT003_CompIn-barg,52.16223,23 Apr 2018 18:09:57:970  
PT003_CompIn-barg,52.14621,23 Apr 2018 18:09:58:232  
PT003_CompIn-barg,52.109592,23 Apr 2018 18:09:58:457  
PT003_CompIn-barg,52.068394,23 Apr 2018 18:09:58:711  
PT003_CompIn-barg,52.03177,23 Apr 2018 18:09:58:975  
PT003_CompIn-barg,52.004303,23 Apr 2018 18:09:59:223  
PT003_CompIn-barg,51.97913,23 Apr 2018 18:09:59:485  
PT003_CompIn-barg,51.96082,23 Apr 2018 18:09:59:731  
PT003_CompIn-barg,51.942505,23 Apr 2018 18:09:59:975  
PT003_CompIn-barg,51.93335,23 Apr 2018 18:10:00:237  
PT003_CompIn-barg,51.93106,23 Apr 2018 18:10:00:479  
PT003_CompIn-barg,51.93106,23 Apr 2018 18:10:00:722  
PT003_CompIn-barg,51.924194,23 Apr 2018 18:10:00:983  
PT003_CompIn-barg,51.921906,23 Apr 2018 18:10:01:210  
PT003_CompIn-barg,51.919617,23 Apr 2018 18:10:01:472  
PT003_CompIn-barg,51.91275,23 Apr 2018 18:10:01:725  
PT003_CompIn-barg,51.91046,23 Apr 2018 18:10:01:978  
PT003_CompIn-barg,51.905884,23 Apr 2018 18:10:02:227  
PT003_CompIn-barg,51.899017,23 Apr 2018 18:10:02:484  
PT003_CompIn-barg,51.894444,23 Apr 2018 18:10:02:712  
PT003_CompIn-barg,51.894444,23 Apr 2018 18:10:02:973  
PT003_CompIn-barg,51.889862,23 Apr 2018 18:10:03:230  
PT003_CompIn-barg,51.887573,23 Apr 2018 18:10:03:479  
PT003_CompIn-barg,51.882996,23 Apr 2018 18:10:03:716  
PT003_CompIn-barg,51.880707,23 Apr 2018 18:10:03:988  
PT003_CompIn-barg,51.878418,23 Apr 2018 18:10:04:230  
PT003_CompIn-barg,51.87613,23 Apr 2018 18:10:04:473  
PT003_CompIn-barg,51.87155,23 Apr 2018 18:10:04:720  
PT003_CompIn-barg,51.869263,23 Apr 2018 18:10:04:970  
PT003_CompIn-barg,51.869263,23 Apr 2018 18:10:05:226  
PT003_CompIn-barg,51.862396,23 Apr 2018 18:10:05:477  
PT003_CompIn-barg,51.860107,23 Apr 2018 18:10:05:733  
PT003_CompIn-barg,51.85553,23 Apr 2018 18:10:05:969  
PT003_CompIn-barg,51.853245,23 Apr 2018 18:10:06:237  
PT003_CompIn-barg,51.850956,23 Apr 2018 18:10:06:481  
PT003_CompIn-barg,51.846375,23 Apr 2018 18:10:06:724  
PT003_CompIn-barg,51.839508,23 Apr 2018 18:10:06:971  
PT003_CompIn-barg,51.839508,23 Apr 2018 18:10:07:229  
PT003_CompIn-barg,51.83493,23 Apr 2018 18:10:07:474  
PT003_CompIn-barg,51.832645,23 Apr 2018 18:10:07:737  
PT003_CompIn-barg,51.828064,23 Apr 2018 18:10:07:981  
PT003_CompIn-barg,51.825775,23 Apr 2018 18:10:08:226  
PT003_CompIn-barg,51.821198,23 Apr 2018 18:10:08:477  
PT003_CompIn-barg,51.81662,23 Apr 2018 18:10:08:729  
PT003_CompIn-barg,51.81662,23 Apr 2018 18:10:08:973  
PT003_CompIn-barg,52.62,23 Apr 2018 18:10:09:223  
PT003_CompIn-barg,51.93106,23 Apr 2018 18:10:09:477  
PT003_CompIn-barg,51.823486,23 Apr 2018 18:10:09:723  
PT003_CompIn-barg,52.040924,23 Apr 2018 18:10:09:967  
PT003_CompIn-barg,52.034058,23 Apr 2018 18:10:10:232  
PT003_CompIn-barg,52.03177,23 Apr 2018 18:10:10:476  
PT003_CompIn-barg,52.018036,23 Apr 2018 18:10:10:726  
PT003_CompIn-barg,52.00888,23 Apr 2018 18:10:10:975  
PT003_CompIn-barg,51.997437,23 Apr 2018 18:10:11:226  
